scenario_name,algorithm,size,annealings,iterations,status,evaluation,exec_time
scenario3,qnn,8,1,60,solution_found,254.43,3.161801205947995
scenario3,qft,8,1,20,solution_found,198.96,1.0404377859085798
scenario1,vqe,8,15,10,solution_found,202.34211225955818,9.675941156223416
scenario3,dj,10,20,60,solution_found,373.6,58.52309913188219
scenario2,qft,6,25,5,solution_found,241.30859116146738,7.29767857119441
scenario2,realamprandom,10,25,30,solution_found,252.60172214894936,40.996551755815744
scenario3,qnn,10,1,5,solution_found,279.27,0.324265219271183
scenario1,dj,6,30,60,solution_found,469.89748865861486,76.3254035320133
scenario2,qft,6,1,10,solution_found,234.41923153306652,0.7284460179507732
scenario3,dj,10,30,25,solution_found,377.07,36.9894197974354
scenario3,qaoa,6,20,60,solution_found,431.80000000000007,50.052756348624825
scenario3,qaoa,10,5,10,solution_found,444.12000000000006,2.640823593363166
scenario2,qft,8,5,15,solution_found,246.26022489981727,4.536780083552003
scenario2,qft,10,10,60,solution_found,253.70221859928532,33.17760917171836
scenario2,dj,6,1,25,solution_found,563.1704191829002,1.763056319206953
scenario2,qft,6,10,40,solution_found,252.1473290177365,20.968446535989642
scenario3,qft,8,1,35,solution_found,201.07,1.572247127071023
scenario1,twolocalrandom,6,25,40,solution_found,200.78143823014932,57.22928644530475
scenario3,realamprandom,8,10,10,solution_found,199.72000000000003,4.075292516499758
scenario1,vqe,10,25,1,solution_found,210.89825566805578,2.8218570444732904
scenario2,qnn,6,25,55,solution_found,366.1717295727611,71.69283492304385
scenario1,realamprandom,10,10,45,solution_found,200.4432701101688,27.516999742016196
scenario3,realamprandom,8,10,1,solution_found,226.29,0.7239866368472576
scenario3,qaoa,6,30,45,solution_found,431.50000000000006,57.77494963631034
scenario1,qft,8,15,45,solution_found,200.43672111883512,39.83047851733863
scenario1,qnn,8,10,45,solution_found,273.81231517040425,27.23477009497583
scenario1,qaoa,10,5,10,solution_found,583.82400167842,1.5832472313195467
scenario2,twolocalrandom,6,5,45,solution_found,253.61286019582337,12.13812687061727
scenario2,vqe,10,20,5,solution_found,244.96138046545693,6.280360639095306
scenario1,dj,10,10,1,solution_found,487.29205092448956,0.8995081651955843
scenario3,realamprandom,8,15,40,solution_found,194.73000000000002,22.743192702531815
scenario1,qnn,8,1,45,solution_found,278.28517871653617,3.1007916685193777
scenario2,qaoa,6,10,15,solution_found,667.5640858970824,8.900806153193116
scenario2,qft,6,1,15,solution_found,242.93880137553398,1.0965747479349375
scenario1,dj,8,20,30,solution_found,470.7269628877715,26.987155579030514
scenario2,dj,6,1,50,solution_found,567.5338418212989,3.260865079239011
scenario1,vqe,10,25,30,solution_found,200.741545821537,45.62034811638296
scenario2,dj,6,5,25,solution_found,565.7344388523958,7.387721199542284
scenario2,qft,8,1,55,solution_found,252.53541191717645,3.515112640336156
scenario2,vqe,6,25,35,solution_found,253.97056150722162,45.21913308091462
scenario1,realamprandom,6,10,55,solution_found,200.2309498502309,31.865438282489777
scenario2,qnn,8,10,15,solution_found,363.6845315608712,9.384007062762976
scenario2,dj,10,5,1,solution_found,505.9550448409085,0.6633263602852821
